"AadhaarCard","PatientID","Name","Age","Gender","Diagnosis","DiagnosisDate","Symptoms","Treatment","RiskFactors","FamilyHistory"
"537852568869","K6390","Tanya Dey","78","Male","Nephrotic Syndrome","2021-05-10","Frequent Urination","","","Kidney Disease"
"665840744828","K2653","Kashvi Goswami","48","Male","Nephrotic Syndrome","2019-12-28","","None","None","No Significant History"
"857501905782","K2645","Divyansh Lad","53","Male","Kidney Failure","2022-01-16","Back Pain, High Blood Pressure, Fatigue, Blood in Urine","Lifestyle Changes, None","Diabetes, Obesity, Family History","No Significant History"
"840262727465","K1323","Madhav Kumer","60","Male","Polycystic Kidney Disease","2015-11-13","Blood in Urine, None","Lifestyle Changes","Obesity","No Significant History"
"554161514237","K5140","Yakshit Buch","46","Male","Polycystic Kidney Disease","2018-12-01","Frequent Urination, Back Pain","None","Diabetes, Smoking","Kidney Disease"
"690266304228","K9615","Shray Sangha","73","Male","Kidney Infection","2016-12-09","","None","Smoking, None, High Blood Pressure","Kidney Disease"
"59529976699","K3853","Misha Ghose","74","Male","Nephrotic Syndrome","2018-09-26","Swelling, Frequent Urination","","Family History","No Significant History"
"120988320760","K8762","Vanya Kannan","78","Female","Kidney Stones","2021-07-15","None, Swelling, Blood in Urine, Back Pain","","High Blood Pressure, Family History, Diabetes","No Significant History"
"485219887472","K3686","Aaina Date","23","Male","Kidney Failure","2023-09-02","Blood in Urine, None","","","No Significant History"
"608838516041","K5874","Kiaan Agrawal","58","Female","Polycystic Kidney Disease","2017-12-05","High Blood Pressure, Fatigue, None","","None, Diabetes, Smoking","Kidney Disease"
"617689310179","K2911","Yashvi Saha","20","Female","Nephrotic Syndrome","2021-02-09","Frequent Urination, Blood in Urine, Back Pain, High Blood Pressure","Kidney Transplant, Dialysis","Smoking, Obesity, Diabetes","No Significant History"
"609499758171","K9165","Onkar Lanka","69","Female","Nephrotic Syndrome","2016-03-29","","","","No Significant History"
"548221681872","K8411","Aniruddh Shere","57","Female","Chronic Kidney Disease","2022-10-26","Back Pain, Frequent Urination, None, High Blood Pressure","","","Kidney Disease"
"345156976353","K6955","Dharmajan Mallick","69","Male","Nephrotic Syndrome","2019-03-30","Blood in Urine, High Blood Pressure, Frequent Urination, Back Pain","Dialysis, Dietary Changes","Family History, Obesity, Smoking","No Significant History"
"398868979832","K6197","Hrishita Grover","73","Female","Kidney Infection","2022-05-29","","","Diabetes, High Blood Pressure, Family History","No Significant History"
"816938699328","K3406","Adah Char","57","Male","Chronic Kidney Disease","2022-11-29","Swelling, Fatigue, Blood in Urine, High Blood Pressure","Kidney Transplant, Lifestyle Changes","None","No Significant History"
"461977556041","K2590","Kanav Date","35","Male","Polycystic Kidney Disease","2016-07-04","","","High Blood Pressure","No Significant History"
"282789786887","K2400","Priyansh Butala","41","Female","Polycystic Kidney Disease","2015-03-04","High Blood Pressure","None","High Blood Pressure, Smoking","No Significant History"
"173332766511","K8905","Nishith Luthra","23","Female","Polycystic Kidney Disease","2023-08-11","Protein in Urine, None","Lifestyle Changes","","Kidney Disease"
"123269522453","K2425","Charvi Babu","34","Female","Kidney Infection","2022-12-21","Swelling, Fatigue, Blood in Urine, High Blood Pressure","Medication","High Blood Pressure, None","Kidney Disease"
"239583839960","K7283","Miraya Deshmukh","35","Male","Polycystic Kidney Disease","2017-02-07","Protein in Urine, Blood in Urine, Back Pain, High Blood Pressure","","Smoking","Kidney Disease"
"481261062770","K2244","Divit Contractor","55","Female","Kidney Infection","2022-07-25","High Blood Pressure, Fatigue, Back Pain","Lifestyle Changes, Medication","None","No Significant History"
"428205728509","K3277","Nehmat Ramesh","65","Male","Chronic Kidney Disease","2021-11-15","Back Pain, Protein in Urine, None","Lifestyle Changes","","Kidney Disease"
"960707618221","K6696","Gokul Sem","76","Female","Polycystic Kidney Disease","2020-12-25","Frequent Urination","","Smoking, Obesity, High Blood Pressure","Kidney Disease"
"932560336118","K7421","Keya Reddy","73","Male","Kidney Stones","2021-03-03","Fatigue, Blood in Urine, Back Pain","Medication","None, High Blood Pressure","Kidney Disease"
"235192974571","K6486","Drishya Som","70","Male","Polycystic Kidney Disease","2016-03-11","Protein in Urine, Blood in Urine, Frequent Urination, Back Pain","Medication","","Kidney Disease"
"75084197794","K4908","Raunak Maharaj","39","Male","Chronic Kidney Disease","2023-05-30","Protein in Urine, Back Pain","","","Kidney Disease"
"449648331809","K9713","Raunak Jha","43","Female","Kidney Infection","2016-01-07","Frequent Urination, Blood in Urine, Protein in Urine, Fatigue","Dialysis, Dietary Changes","Diabetes, Smoking, None","No Significant History"
"858566339276","K1793","Indrans Anne","33","Male","Kidney Stones","2021-10-17","Back Pain, Protein in Urine","","High Blood Pressure","Kidney Disease"
"886843552135","K9931","Raghav Sekhon","78","Female","Polycystic Kidney Disease","2024-02-29","Fatigue, Back Pain, Frequent Urination, Blood in Urine","Medication","","Kidney Disease"
"878676200662","K9286","Emir Sodhi","22","Female","Kidney Stones","2015-09-05","Frequent Urination","Kidney Transplant","Diabetes, None, Smoking","Kidney Disease"
"508290050852","K5799","Pari Gill","25","Male","Polycystic Kidney Disease","2021-10-16","None, Back Pain, Blood in Urine, Frequent Urination","Dialysis, Dietary Changes","","Kidney Disease"
"235780026710","K7936","Aayush Sunder","40","Male","Chronic Kidney Disease","2018-07-03","Frequent Urination","Kidney Transplant","","No Significant History"
"26555057988","K9751","Yashvi Sule","31","Male","Kidney Infection","2019-06-16","Swelling, Back Pain","Kidney Transplant","Smoking, Family History","No Significant History"
"574110147100","K7498","Eshani Raval","64","Male","Nephrotic Syndrome","2023-03-17","None","None, Dialysis","High Blood Pressure, Smoking, None","No Significant History"
"902424263954","K9694","Tiya Lata","38","Female","Nephrotic Syndrome","2024-06-03","Protein in Urine, Fatigue, Blood in Urine, Back Pain","","Smoking","Kidney Disease"
"504925205841","K5272","Lakshay Dash","73","Female","Kidney Failure","2021-08-21","High Blood Pressure","","Obesity","No Significant History"
"839967206265","K5784","Hiran Raman","55","Female","Kidney Failure","2024-04-25","Back Pain, Swelling, High Blood Pressure, Frequent Urination","Dialysis, Kidney Transplant","Diabetes","Kidney Disease"
"801336482623","K1344","Lavanya Sridhar","23","Female","Polycystic Kidney Disease","2023-03-03","","None","None, Diabetes","Kidney Disease"
"139653135380","K5015","Sana Suri","68","Male","Kidney Infection","2021-05-26","High Blood Pressure, Blood in Urine, Frequent Urination, Swelling","","Diabetes, Obesity, None","No Significant History"
"690457767678","K6418","Shray Walla","66","Female","Polycystic Kidney Disease","2018-08-16","Fatigue","Medication, Lifestyle Changes","None, Family History","No Significant History"
"829873097094","K3182","Sara Doshi","46","Female","Kidney Failure","2014-12-04","Frequent Urination, Swelling, None","","Obesity, High Blood Pressure, Smoking","Kidney Disease"
"578566815547","K6964","Zaina Saini","60","Female","Chronic Kidney Disease","2020-11-06","","Medication, Kidney Transplant","Diabetes, None, Obesity","No Significant History"
"608918669656","K7294","Ryan Brar","45","Female","Polycystic Kidney Disease","2016-03-03","Swelling, Blood in Urine","Kidney Transplant","None, Obesity","Kidney Disease"
"362276875788","K7576","Urvi Sinha","21","Male","Chronic Kidney Disease","2019-12-07","Blood in Urine, Frequent Urination, Protein in Urine, Fatigue","Medication","","No Significant History"
"131050685954","K9965","Gokul Chakrabarti","32","Female","Kidney Infection","2017-01-14","Blood in Urine","","","Kidney Disease"
"673108740117","K1397","Nitara Tripathi","34","Female","Nephrotic Syndrome","2016-11-14","Frequent Urination, High Blood Pressure, Blood in Urine, Protein in Urine","None, Lifestyle Changes","","Kidney Disease"
"177269027851","K1470","Manikya Deshpande","45","Female","Polycystic Kidney Disease","2018-12-15","Back Pain, Swelling, Blood in Urine","","Diabetes","Kidney Disease"
"637165847394","K6682","Ayesha Viswanathan","72","Male","Chronic Kidney Disease","2018-01-29","High Blood Pressure, None","","Diabetes","Kidney Disease"
"661746425622","K3403","Faiyaz Kohli","37","Male","Nephrotic Syndrome","2022-02-15","Swelling","Dialysis","Smoking, High Blood Pressure, None","No Significant History"
"917730019635","K5812","Krish Dey","74","Female","Nephrotic Syndrome","2018-07-02","Protein in Urine, Back Pain, Swelling, Blood in Urine","None","None, Smoking, Family History","No Significant History"
"50614607378","K4200","Umang Datta","63","Female","Nephrotic Syndrome","2024-03-11","Protein in Urine, High Blood Pressure","None","None, Smoking","No Significant History"
"803821025","K5227","Saksham Bhatia","43","Female","Chronic Kidney Disease","2020-01-07","","","Obesity, None, Family History","No Significant History"
"835703441271","K7427","Faiyaz Srinivasan","59","Male","Nephrotic Syndrome","2018-02-07","","","None, Diabetes, Smoking","Kidney Disease"
"398381480308","K5970","Sahil Dar","54","Female","Kidney Stones","2018-05-31","Protein in Urine, Back Pain, Fatigue, Frequent Urination","Dietary Changes, None","None, Smoking","Kidney Disease"
"94030266037","K9158","Ivana Sarraf","22","Male","Kidney Stones","2022-02-14","Frequent Urination, Swelling, Fatigue, Protein in Urine","","Obesity, High Blood Pressure","Kidney Disease"
"808284211809","K9471","Romil Brahmbhatt","31","Male","Kidney Failure","2023-10-21","High Blood Pressure, Protein in Urine","None, Medication","Smoking","Kidney Disease"
"170921615601","K5026","Jivika Desai","51","Female","Nephrotic Syndrome","2024-02-06","Protein in Urine","None, Dietary Changes","Smoking","Kidney Disease"
