AadhaarCard,PatientID,Name,Age,Gender,DiabetesType,DiagnosisDate,HbA1c,BloodGlucose,Complications,Medication,FamilyHistory
410610196699,D1641,Emir Khurana,48,Female,Type 2,2023-07-13,8.3,282,"Cardiovascular disease, None","DPP-4 inhibitors, Metformin",No Significant History
66473493795,D6433,Jayesh Mangal,57,Female,Type 1,2018-08-26,6.1,165,Nephropathy,"Sulfonylureas, SGLT2 inhibitors",No Significant History
451270623932,D7767,Akarsh Bath,21,Female,Type 1,2022-03-15,6.1,80,,Sulfonylureas,No Significant History
464435221870,D3717,Lakshay Korpal,45,Male,Type 1,2023-01-26,7.8,245,"Retinopathy, Nephropathy","Metformin, GLP-1 receptor agonists",No Significant History
559329181476,D3555,Misha Taneja,65,Female,Type 1,2023-10-27,10.7,285,Nephropathy,,Diabetes
183941693566,D1856,Diya Gour,76,Female,Type 2,2015-12-22,10.7,167,,Insulin,Diabetes
735026203335,D5729,Ahana  Venkataraman,56,Male,Type 2,2022-02-03,10.2,164,"Cardiovascular disease, Nephropathy, Neuropathy","None, Metformin",Diabetes
648516725151,D2800,Hunar Mahajan,52,Female,Type 2,2022-11-06,11.6,163,"Foot ulcers, Nephropathy, Cardiovascular disease",,No Significant History
371219465843,D9657,Jiya Varughese,70,Male,Type 1,2020-10-07,11.3,242,"Nephropathy, Neuropathy","None, Insulin",Diabetes
959893580407,D8708,Armaan Krish,20,Male,Type 2,2021-08-25,9.3,189,,,No Significant History
426971756521,D9031,Lagan Kota,59,Male,Type 2,2019-07-04,5.4,131,"None, Retinopathy, Nephropathy","Metformin, DPP-4 inhibitors",Diabetes
437884806075,D1291,Kashvi Sahota,37,Male,Type 1,2020-02-11,10.8,99,"Retinopathy, Nephropathy, None",Insulin,No Significant History
757505390710,D8234,Kashvi Salvi,52,Male,Type 2,2020-10-15,9.8,107,"Retinopathy, Foot ulcers","None, Insulin",Diabetes
871708866116,D8438,Miraan Kumer,74,Female,Type 1,2021-10-19,5.1,121,"Retinopathy, Foot ulcers, Neuropathy",,Diabetes
164688441641,D4742,Prisha Chokshi,65,Female,Type 1,2016-11-07,10.5,128,,,Diabetes
549200227516,D8526,Kismat Aggarwal,39,Female,Type 1,2023-07-20,6.3,128,"Nephropathy, Foot ulcers, None",None,Diabetes
518321950305,D5740,Adira Sama,41,Male,Type 1,2024-05-29,11.3,104,"Neuropathy, Nephropathy, None","GLP-1 receptor agonists, Sulfonylureas",Diabetes
103574889342,D9001,Biju Kunda,70,Female,Type 1,2016-08-19,11.5,176,Nephropathy,Metformin,No Significant History
372756297977,D7153,Shanaya Chaudhry,62,Male,Type 1,2015-01-26,7.2,248,"Retinopathy, Cardiovascular disease, Nephropathy","SGLT2 inhibitors, DPP-4 inhibitors",Diabetes
385555469425,D8400,Tushar Bhagat,36,Male,Type 1,2022-07-26,8.2,92,"None, Neuropathy, Foot ulcers",,No Significant History
288001909646,D7381,Alia Magar,48,Male,Type 2,2020-05-27,8.7,272,Retinopathy,"Metformin, None",No Significant History
422181143626,D4770,Himmat Ram,37,Female,Type 1,2015-04-25,5.1,89,"Nephropathy, Neuropathy",,Diabetes
801952027656,D4907,Gatik Wagle,37,Male,Type 1,2021-03-11,11.7,210,"Retinopathy, Foot ulcers, Cardiovascular disease",,Diabetes
206996465990,D6690,Nishith Ramakrishnan,27,Male,Type 2,2020-11-26,5.5,224,"Cardiovascular disease, None, Retinopathy","Metformin, GLP-1 receptor agonists",Diabetes
