"AadhaarCard","PatientID","Name","Age","Gender","Diagnosis","DiagnosisDate","Symptoms","Treatment","FamilyHistory"
"997971120843","O5866","Siya Sridhar","35","Male","Fracture","2019-09-12","","Assistive Devices","Orthopedic Condition"
"992472375159","O4584","Taran Agate","70","Female","Ligament Tears","2022-05-04","None, Stiffness, Swelling, Numbness","Physical Therapy","Orthopedic Condition"
"449783752372","O6365","Heer Bhakta","25","Female","Joint Dislocation","2021-05-20","Limited Mobility","Assistive Devices, Cast/Brace","No Significant History"
"640511874506","O7309","Tejas Lalla","45","Female","Fracture","2015-12-04","Swelling, Weakness, None, Numbness","Physical Therapy, Surgery","Orthopedic Condition"
"744532954399","O1444","Trisha Sastry","40","Male","Fracture","2018-02-26","Limited Mobility, Stiffness, Swelling","Surgery","Orthopedic Condition"
"411309824676","O6901","Alia Zachariah","88","Male","Arthritis","2021-10-05","Numbness","Surgery","No Significant History"
"117232769912","O1243","Miraan Balasubramanian","88","Male","Fracture","2022-06-30","Stiffness, Pain, Swelling, Deformity","Surgery","Orthopedic Condition"
"114896995951","O4224","Tiya Bhargava","74","Male","Fracture","2021-07-19","Swelling, Stiffness, Deformity, Pain","","No Significant History"
"315895952595","O5822","Himmat Kakar","90","Female","Osteoporosis","2015-04-13","Weakness, None, Deformity, Pain","Medication","Orthopedic Condition"
"280581566911","O7219","Divij Bava","43","Female","Spinal Disorders","2021-05-27","","Medication","No Significant History"
"921624782169","O9612","Ahana  Upadhyay","75","Male","Arthritis","2015-12-16","Stiffness, Limited Mobility, Pain, Swelling","Surgery, None","No Significant History"
"973882121016","O7317","Prerak Khatri","19","Female","Ligament Tears","2019-07-11","","None","Orthopedic Condition"
"461525791945","O9692","Aarush Kalita","64","Male","Joint Dislocation","2019-09-30","Swelling, Pain","Physical Therapy","Orthopedic Condition"
